idGrade,x,y,t_med_medio,t_max_med,t_min_med,v_vento_medio,v_rajada_max
366,-56.0,0.0,26.902,36.66,20.597,0.97,18.562
367,-55.5,0.0,26.892,36.468,20.639,1.051,19.154
368,-55.0,0.0,26.879,36.314,20.642,1.131,19.759
369,-54.5,0.0,26.874,36.151,20.613,1.235,20.505
370,-54.0,0.0,26.841,35.975,20.611,1.31,20.974
371,-53.5,0.0,26.797,35.864,20.475,1.359,21.774
372,-53.0,0.0,26.766,35.746,20.463,1.414,22.568
373,-52.5,0.0,26.763,35.605,20.543,1.497,23.645
374,-52.0,0.0,26.794,35.45,20.683,1.617,24.542
375,-51.5,0.0,27.021,34.972,21.087,1.853,24.539
376,-51.0,0.0,27.32,34.49,21.498,2.098,23.853
377,-50.5,0.0,27.014,35.13,20.906,1.756,23.549
378,-50.0,0.0,26.919,35.442,20.523,1.588,22.283
379,-49.5,0.0,26.967,35.447,20.442,1.575,20.757
380,-49.0,0.0,27.061,35.157,20.523,1.652,19.366
381,-48.5,0.0,27.134,34.944,20.616,1.722,18.581
382,-48.0,0.0,27.108,35.168,20.461,1.7,18.419
383,-47.5,0.0,27.135,35.259,20.342,1.726,18.162
384,-47.0,0.0,27.087,35.535,19.96,1.717,18.304
385,-46.5,0.0,27.009,36.082,19.493,1.693,18.895
386,-46.0,0.0,26.979,36.602,19.373,1.704,19.322
387,-70.5,-0.5,25.806,35.788,19.079,0.775,32.982
388,-70.0,-0.5,25.895,36.053,18.879,0.767,31.666
389,-69.5,-0.5,25.901,36.033,19.088,0.77,32.565
390,-69.0,-0.5,25.978,36.095,19.344,0.8,32.777
391,-68.5,-0.5,25.956,36.032,19.536,0.794,33.904
392,-68.0,-0.5,25.93,35.962,19.713,0.789,34.984
393,-67.5,-0.5,25.907,35.901,19.845,0.784,35.818
394,-67.0,-0.5,25.912,35.898,19.883,0.786,35.935
395,-66.5,-0.5,25.982,36.011,19.783,0.805,34.824
396,-66.0,-0.5,26.145,36.313,19.574,0.84,32.106
397,-65.5,-0.5,26.349,36.695,19.256,0.863,28.18
398,-65.0,-0.5,26.51,37.01,18.897,0.877,24.721
399,-64.5,-0.5,26.598,37.283,18.477,0.864,22.06
400,-64.0,-0.5,26.584,37.47,17.876,0.825,20.102
401,-63.5,-0.5,26.533,37.633,17.223,0.776,18.658
402,-63.0,-0.5,26.479,37.725,16.769,0.745,17.977
403,-62.5,-0.5,26.539,37.669,17.205,0.767,18.262
404,-62.0,-0.5,26.692,37.531,18.264,0.825,18.939
405,-61.5,-0.5,26.807,37.385,19.175,0.866,19.29
406,-61.0,-0.5,26.871,37.294,19.684,0.9,19.396
407,-60.5,-0.5,26.884,37.261,19.921,0.889,19.159
408,-60.0,-0.5,26.894,37.23,20.062,0.876,18.888
409,-59.5,-0.5,26.915,37.187,20.177,0.864,18.412
410,-59.0,-0.5,26.927,37.141,20.287,0.856,18.124
411,-58.5,-0.5,26.949,37.081,20.393,0.855,17.938
412,-58.0,-0.5,26.973,37.007,20.492,0.862,17.742
413,-57.5,-0.5,26.97,36.937,20.557,0.861,17.692
414,-57.0,-0.5,26.96,36.875,20.609,0.863,17.591
415,-56.5,-0.5,26.922,36.815,20.613,0.867,17.61
416,-56.0,-0.5,26.883,36.72,20.587,0.903,17.957
417,-55.5,-0.5,26.865,36.566,20.591,0.99,18.53
418,-55.0,-0.5,26.867,36.375,20.588,1.12,19.514
419,-54.5,-0.5,26.881,36.167,20.574,1.277,20.723
420,-54.0,-0.5,26.865,36.006,20.527,1.376,21.547
421,-53.5,-0.5,26.822,35.909,20.427,1.408,22.056
422,-53.0,-0.5,26.781,35.839,20.41,1.41,22.46
423,-52.5,-0.5,26.774,35.751,20.387,1.457,23.278
424,-52.0,-0.5,26.816,35.577,20.553,1.536,23.66
425,-51.5,-0.5,26.935,35.262,20.812,1.673,23.886
426,-51.0,-0.5,27.009,35.127,20.894,1.734,23.754
427,-50.5,-0.5,26.916,35.37,20.646,1.579,23.255
428,-50.0,-0.5,26.902,35.53,20.461,1.496,22.009
429,-49.5,-0.5,26.983,35.396,20.464,1.545,20.324
430,-49.0,-0.5,27.178,34.715,20.787,1.746,18.513
431,-48.5,-0.5,27.444,33.664,21.252,2.078,17.127
432,-48.0,-0.5,27.153,34.918,20.697,1.72,17.911
433,-47.5,-0.5,27.355,34.432,21.081,1.908,16.96
434,-47.0,-0.5,27.171,35.116,19.985,1.779,17.646
435,-46.5,-0.5,26.995,36.037,18.908,1.671,18.487
436,-46.0,-0.5,26.968,36.816,19.149,1.704,19.086
437,-45.5,-0.5,26.987,37.49,19.377,1.765,19.472
438,-45.0,-0.5,26.987,37.718,19.401,1.818,19.759
439,-44.5,-0.5,27.019,37.638,19.269,1.845,19.982
440,-70.5,-1.0,25.77,36.121,17.889,0.879,30.104
441,-70.0,-1.0,25.848,36.249,18.002,0.847,29.721
442,-69.5,-1.0,25.949,36.187,18.603,0.855,31.18
