idGrade,x,y
1073,-63.0,-5.5
1074,-62.5,-5.5
1075,-62.0,-5.5
1076,-61.5,-5.5
1077,-61.0,-5.5
1078,-60.5,-5.5
1079,-60.0,-5.5
1080,-59.5,-5.5
1081,-59.0,-5.5
1082,-58.5,-5.5
1083,-58.0,-5.5
1084,-57.5,-5.5
1085,-57.0,-5.5
1086,-56.5,-5.5
1087,-56.0,-5.5
1088,-55.5,-5.5
1089,-55.0,-5.5
1090,-54.5,-5.5
1091,-54.0,-5.5
1092,-53.5,-5.5
1093,-53.0,-5.5
1094,-52.5,-5.5
1095,-52.0,-5.5
1096,-51.5,-5.5
1097,-51.0,-5.5
1098,-50.5,-5.5
1099,-50.0,-5.5
1100,-49.5,-5.5
1101,-49.0,-5.5
1102,-48.5,-5.5
1103,-48.0,-5.5
1104,-47.5,-5.5
1105,-47.0,-5.5
1106,-46.5,-5.5
1107,-46.0,-5.5
1108,-45.5,-5.5
1109,-45.0,-5.5
1110,-44.5,-5.5
1111,-44.0,-5.5
1112,-43.5,-5.5
1113,-43.0,-5.5
1114,-42.5,-5.5
1115,-42.0,-5.5
1116,-41.5,-5.5
1117,-41.0,-5.5
1118,-40.5,-5.5
1119,-40.0,-5.5
1120,-39.5,-5.5
1121,-39.0,-5.5
1122,-38.5,-5.5
1123,-38.0,-5.5
1124,-37.5,-5.5
1125,-37.0,-5.5
1126,-36.5,-5.5
1127,-36.0,-5.5
1128,-35.5,-5.5
1129,-35.0,-5.5
1130,-34.5,-5.5
1131,-74.0,-6.0
1132,-73.5,-6.0
1133,-73.0,-6.0
1134,-72.5,-6.0
1135,-72.0,-6.0
1136,-71.5,-6.0
1137,-71.0,-6.0
1138,-70.5,-6.0
1139,-70.0,-6.0
1140,-69.5,-6.0
1141,-69.0,-6.0
1142,-68.5,-6.0
1143,-68.0,-6.0
1144,-67.5,-6.0
1145,-67.0,-6.0
1146,-66.5,-6.0
1147,-66.0,-6.0
1148,-65.5,-6.0
