,estcodigo,estnome,orgsigla,estlongitude,estlatitude,estaltitude,t_med_medio,v_vento_medio,ini_temp,fim_temp,ini_vento,fim_vento
378,14244424,Montalvânia,Inmet,-44.40412,-14.40823,519.52,24.28437412375114,1.6806246205221622,2007-06-26,2021-03-31,2007-06-26,2021-03-31
379,17544131,Teófilo Otoni,Inmet,-41.51542,-17.89284,467.17,23.149215089555238,1.6704002300067868,2006-12-04,2021-08-25,2006-12-04,2021-08-25
380,18124528,Três Marias,Inmet,-45.45984,-18.20086,931.01,22.140505659640898,2.588659260593689,2006-12-04,2021-08-25,2006-12-04,2021-08-25
381,22234457,Passa Quatro,Inmet,-44.96191,-22.3958,1017.1,18.982880533401026,2.099334550240289,2007-07-03,2021-08-25,2007-07-03,2021-08-25
382,21554622,Caldas,Inmet,-46.383,-21.91807,1077.34,17.98706675974298,0.8893850507416085,2007-05-30,2021-08-25,2007-05-30,2021-08-25
383,22184522,Maria da Fé,Inmet,-45.37305,-22.31457,1281.43,16.76652606137032,0.7359761404351567,2006-12-09,2021-08-25,2006-12-09,2021-08-25
384,18474159,Governador Valadares,Inmet,-41.97701,-18.83035,198.24,24.250191451990624,1.6294595814022041,2007-07-03,2021-08-25,2007-07-03,2021-08-25
385,18474256,Guanhães,Inmet,-42.94292,-18.78684,852.68,20.713895359194556,1.700054459656919,2007-07-03,2021-08-25,2007-07-03,2021-08-25
386,19304103,Aimorés,Inmet,-41.0908,-19.53277,287.74,24.265264840502525,2.2793510293592263,2000-01-01,2020-05-11,2000-01-01,2020-05-11
387,19284535,Dores do Indaiá,Inmet,-45.59393,-19.48194,721.09,22.517278703536885,1.7860583778698542,2007-07-08,2021-08-25,2007-07-08,2021-08-25
388,18134338,Diamantina,Inmet,-43.64827,-18.23105,1359.25,18.528413193818952,3.0724043966052164,2007-07-03,2021-08-25,2007-07-03,2021-08-25
389,18444427,Curvelo,Inmet,-44.45379,-18.74771,669.48,23.07797386356813,1.7093728857663306,2007-07-03,2021-08-25,2007-07-03,2021-08-25
390,15054402,Mocambinho,Inmet,-44.01604,-15.08596,454.0,25.06778515883025,1.109594267299185,2007-11-19,2021-08-25,2007-11-19,2021-08-25
391,15184537,Chapada Gaúcha,Inmet,-45.61743,-15.30016,873.2,23.08261748633879,2.7034928037202635,2007-07-03,2021-03-31,2007-07-03,2021-03-31
392,20264218,Manhuaçu,Inmet,-42.18282,-20.26338,819.47,20.097373572769058,2.010051003792806,2010-10-02,2020-12-15,2010-10-02,2020-12-14
393,21544326,Coronel Pacheco,Inmet,-43.26103,-21.54673,411.14,22.7422010798855,1.3680095303148574,2012-11-07,2021-08-25,2012-11-07,2021-08-25
394,19454417,Sete Lagoas,Inmet,-44.17338,-19.45529,719.0,21.931646630236788,2.0036338797814226,2016-06-11,2021-08-25,2016-06-11,2021-07-12
395,22484341,Seropédica - Ecologia Agrícola,Inmet,-43.68484,-22.75787,34.64,23.778447166676692,1.9979025000500408,2006-12-04,2021-08-25,2006-12-04,2021-08-25
396,23034336,Rio de Janeiro - Marambaia,Inmet,-43.59569,-23.05033,9.16,23.29313290898536,3.3650583260091462,2006-12-04,2021-08-25,2006-12-04,2021-08-25
397,22354316,Duque de Caxias - Xerém,Inmet,-43.28223,-22.58981,24.35,22.821261629536224,0.7825537240537243,2006-12-03,2021-08-25,2006-12-04,2021-08-25
398,21344157,Cambuci,Inmet,-41.95833,-21.58773,59.94,23.885622364429754,0.9553834075760302,2005-03-25,2021-08-25,2006-12-04,2021-08-25
399,22584200,Arraial do Cabo,Inmet,-42.02145,-22.97547,3.34,23.32384983686624,4.524408428547772,2006-12-04,2021-08-25,2006-12-04,2021-08-25
400,21424121,Campos,Inmet,-41.34402,-21.71477,16.67,23.803757726335594,3.1010415590784435,2006-12-04,2021-08-25,2006-12-04,2021-08-25
401,22234149,Macaé,Inmet,-41.81205,-22.37632,24.61,23.399951084889597,2.5981492587558157,2006-12-04,2021-08-08,2006-12-04,2021-08-08
402,22274427,Resende,Inmet,-44.44479,-22.45092,438.83,21.6521702896375,1.843876508737163,2006-12-04,2021-08-25,2006-12-04,2021-08-25
403,22274317,Petrópolis - Pico do Couto,Inmet,-43.29151,-22.46489,1758.22,14.131212158970355,4.583807411850445,2006-12-04,2020-03-01,2006-12-04,2020-02-08
404,22214342,Valença,Inmet,-43.69566,-22.35809,367.21,21.911581446634727,1.5780966023957843,2006-12-04,2021-08-25,2006-12-04,2021-08-25
405,20164018,Vitória,Inmet,-40.30607,-20.27109,9.0,24.306295507315973,1.7985988060209361,2006-12-04,2021-08-25,2006-12-04,2021-08-25
406,19594035,Santa Teresa,Inmet,-40.57957,-19.98839,975.92,18.25323327947098,1.8741774309479229,2000-01-01,2021-08-25,2000-01-01,2021-08-25
407,19214004,Linhares,Inmet,-40.06868,-19.35692,37.82,24.276130266818814,2.951110455573572,2006-12-04,2021-08-25,2006-12-04,2021-08-25
408,20384044,Alfredo Chaves,Inmet,-40.74182,-20.63653,14.19,24.1951763846354,1.904081236614022,2006-12-04,2021-08-25,2006-12-04,2021-08-25
409,18423950,São Mateus,Inmet,-39.86405,-18.6762,28.66,23.92641516543567,2.525750830681157,2006-12-01,2021-08-25,2006-12-01,2021-08-25
410,22264259,Teresópolis - Parque Nacional,Inmet,-42.98715,-22.44892,991.44,18.043413669208753,0.7372347625052544,2007-07-03,2021-08-25,2007-07-03,2021-08-25
411,23134443,Paraty,Inmet,-44.72686,-23.22354,3.0,22.738003909569475,1.4911155802303342,2007-03-30,2021-08-25,2007-03-30,2021-08-25
412,22374105,Campos - São Tomé,Inmet,-41.05187,-22.04165,7.18,24.10535529361348,3.5866460247402876,2008-06-13,2021-08-25,2008-06-13,2021-08-25
413,22514324,Rio de Janeiro - Vila Militar,Inmet,-43.41141,-22.86132,30.43,24.09105707680299,1.3689674483076117,2007-07-03,2021-08-25,2007-07-03,2021-08-25
414,21104103,Presidente Kennedy,Inmet,-41.0394,-21.10081,69.12,23.951928128792893,3.6997751974801143,2008-06-18,2021-08-25,2008-06-17,2021-08-25
415,18694039,Nova Venécia,Inmet,-40.39057,-18.69527,156.02,24.212231129526216,2.1550383064112566,2008-06-21,2021-08-25,2008-06-21,2021-08-25
416,22274252,Nova Friburgo-Salinas,Inmet,-42.67693,-22.33484,1065.08,17.037598774631572,2.2260543678392044,2010-10-02,2021-08-25,2010-10-02,2021-08-25
417,22984319,Rio de Janeiro - Forte de Copacabana,Inmet,-43.19044,-22.98829,25.59,23.532198322624538,2.6972843982065307,2007-07-03,2021-08-25,2007-07-03,2021-08-25
418,20104110,Afonso Cláudio,Inmet,-41.10686,-20.10419,507.48,22.281496606383907,1.9816026433342,2011-09-26,2020-07-04,2011-09-26,2020-07-04
419,22644260,Silva Jardim,Inmet,-42.41578,-22.64591,19.0,23.2967868852459,1.2999954462659373,2015-08-28,2021-08-25,2015-08-28,2021-08-25
420,22874261,Saquarema - Sampaio Correia,Inmet,-42.60922,-22.87132,26.0,23.729670309653905,1.8259717668488162,2015-09-02,2021-08-25,2015-09-02,2021-08-25
