idGrade,x,y,t_med_medio,v_vento_medio
613,-54.5,-4.0,26.562,0.786
614,-54.0,-4.0,26.518,0.757
615,-53.5,-4.0,26.377,0.866
616,-53.0,-4.0,26.18,0.798
617,-52.5,-4.0,26.125,0.897
618,-52.0,-4.0,26.271,1.006
619,-51.5,-4.0,26.54,1.04
620,-51.0,-4.0,26.811,0.901
621,-50.5,-4.0,26.914,0.806
622,-50.0,-4.0,26.664,1.137
623,-49.5,-4.0,26.729,0.872
624,-49.0,-4.0,26.706,1.184
625,-48.5,-4.0,26.657,1.33
626,-48.0,-4.0,26.511,1.473
627,-47.5,-4.0,26.323,1.647
628,-47.0,-4.0,26.692,1.656
629,-46.5,-4.0,26.839,1.943
630,-46.0,-4.0,26.963,1.765
631,-45.5,-4.0,27.199,1.579
632,-45.0,-4.0,27.59,1.33
633,-44.5,-4.0,27.555,1.423
634,-44.0,-4.0,27.423,1.707
635,-43.5,-4.0,27.564,1.845
636,-43.0,-4.0,27.512,1.884
637,-42.5,-4.0,27.48,1.991
638,-42.0,-4.0,27.636,2.044
639,-41.5,-4.0,26.944,2.307
640,-41.0,-4.0,25.025,2.905
641,-40.5,-4.0,26.957,2.283
642,-40.0,-4.0,26.946,2.363
643,-39.5,-4.0,26.035,2.623
644,-39.0,-4.0,24.093,2.909
645,-38.5,-4.0,26.811,2.639
646,-71.5,-4.5,25.593,1.02
647,-71.0,-4.5,25.617,0.993
648,-70.5,-4.5,25.611,0.976
649,-70.0,-4.5,25.66,0.97
650,-69.5,-4.5,25.699,0.961
651,-69.0,-4.5,25.751,0.952
652,-68.5,-4.5,25.798,0.953
653,-68.0,-4.5,25.857,0.954
654,-67.5,-4.5,25.981,0.98
655,-67.0,-4.5,26.14,0.985
656,-66.5,-4.5,26.246,0.954
657,-66.0,-4.5,26.363,0.946
658,-65.5,-4.5,26.51,0.958
659,-65.0,-4.5,26.6,0.98
660,-64.5,-4.5,26.738,1.011
661,-64.0,-4.5,26.864,1.066
662,-63.5,-4.5,26.969,1.136
663,-63.0,-4.5,26.992,1.155
664,-62.5,-4.5,26.946,1.083
665,-62.0,-4.5,26.924,1.007
666,-61.5,-4.5,26.959,0.981
667,-61.0,-4.5,27.007,0.971
668,-60.5,-4.5,27.003,0.962
669,-60.0,-4.5,26.997,0.894
670,-59.5,-4.5,26.972,0.799
671,-59.0,-4.5,26.942,0.745
672,-58.5,-4.5,26.9,0.751
673,-58.0,-4.5,26.86,0.754
674,-57.5,-4.5,26.868,0.77
675,-57.0,-4.5,26.969,0.826
676,-56.5,-4.5,27.249,0.92
677,-56.0,-4.5,27.54,0.983
678,-55.5,-4.5,27.203,0.965
679,-55.0,-4.5,26.823,0.947
680,-54.5,-4.5,26.626,0.906
681,-54.0,-4.5,26.539,0.901
682,-53.5,-4.5,26.45,0.949
683,-53.0,-4.5,26.374,0.979
684,-52.5,-4.5,26.357,1.027
685,-52.0,-4.5,26.432,1.078
686,-51.5,-4.5,26.555,1.101
687,-51.0,-4.5,26.673,1.077
688,-50.5,-4.5,26.695,1.12
689,-50.0,-4.5,26.62,1.284
690,-49.5,-4.5,26.658,1.21
691,-49.0,-4.5,26.661,1.257
692,-48.5,-4.5,26.573,1.315
693,-48.0,-4.5,26.402,1.357
694,-47.5,-4.5,26.254,1.661
695,-47.0,-4.5,26.703,1.669
696,-46.5,-4.5,26.829,2.116
697,-46.0,-4.5,26.974,1.782
698,-45.5,-4.5,27.223,1.564
