,index,estcodigo,estnome,orgsigla,esttipo,estlongitude,estlatitude,estaltitude,estiniciooperacao
296,2447.0,5044248.0,Teresina,Inmet,M,-42.80134,-5.03477,75.23,2004-11-22
297,2448.0,7133554.0,Campina Grande,Inmet,M,-35.90483,-7.22557,546.17,2006-12-22
298,2449.0,7183916.0,Barbalha,Inmet,M,-39.27111,-7.30093,409.41,2007-06-01
299,2450.0,6273706.0,Caicó,Inmet,M,-37.08493,-6.46747,171.26,2007-01-07
300,2451.0,5463637.0,Macau,Inmet,M,-36.57314,-5.15104,17.37,2007-01-06
301,2452.0,5123718.0,Mossoró,Inmet,M,-37.36694,-4.90409,29.44,2007-05-23
302,2453.0,6233916.0,Iguatu,Inmet,M,-39.26895,-6.39638,221.56,2007-05-30
303,2454.0,7083451.0,João Pessoa,Inmet,M,-34.81563,-7.16541,33.5,2007-07-21
304,2455.0,7043716.0,Patos,Inmet,M,-37.27282,-7.07984,263.66,2007-07-21
305,2456.0,7843575.0,Surubim,Inmet,M,-35.80106,-7.83963,421.44,2008-03-09
306,2457.0,6753822.0,São Gonçalo,Inmet,M,-38.31158,-6.83578,237.04,2007-11-06
307,2463.0,8444386.0,Alvorada do Gurguéia,Inmet,M,-43.86544,-8.4416,261.26,2007-12-05
308,2464.0,9284332.0,Caracol,Inmet,M,-43.32444,-9.28588,515.3,2007-11-10
310,2473.0,4783777.0,Jaguaruana,Inmet,M,-37.77719,-4.85351,16.57,2007-11-10
311,2474.0,8293596.0,Caruaru,Inmet,M,-35.98555,-8.23607,570.05,2007-11-23
313,2478.0,9034270.0,São Raimundo Nonato,Inmet,M,-42.70111,-9.03321,383.13,2008-02-27
314,2479.0,7474434.0,Uruçui,Inmet,M,-44.34506,-7.44142,398.83,2008-03-06
315,2480.0,7483628.0,Cabaceiras,Inmet,M,-36.28647,-7.48321,391.96,2008-02-28
316,2483.0,8503771.0,Ibimirim,Inmet,M,-37.71159,-8.50955,434.23,2008-10-14
317,2497.0,7953829.0,Serra Talhada,Inmet,M,-38.29508,-7.95428,499.02,2008-09-12
318,2498.0,6974214.0,Oeiras,Inmet,M,-42.14683,-6.97414,154.03,2008-07-22
319,2499.0,10123628.0,Coruripe,Inmet,M,-36.28635,-10.12848,82.39,2008-05-08
320,2500.0,9283556.0,São Luis do Quitunde,Inmet,M,-35.56588,-9.28748,13.69,2008-09-08
321,2501.0,8663556.0,Palmares,Inmet,M,-35.56792,-8.66667,164.01,2008-09-22
322,2502.0,5903862.0,Jaguaribe,Inmet,M,-38.62779,-5.90559,149.31,2008-09-10
324,2508.0,9874534.0,Gilbués,Inmet,M,-45.34581,-9.8752,425.1,2009-05-16
325,2509.0,8114297.0,Canto do Buriti,Inmet,M,-42.97572,-8.11794,312.07,2010-06-12
326,2514.0,7884010.0,Ouricuri,Inmet,M,-40.10268,-7.88583,457.85,2010-08-13
328,2529.0,12393909.0,Cruz das Almas,Inmet,M,-39.08958,-12.67542,219.76,2003-01-20
329,2541.0,13314007.0,Itiruçu,Inmet,M,-40.11975,-13.52783,757.42,2003-01-31
330,2542.0,12314017.0,Itaberaba,Inmet,M,-40.29971,-12.52406,250.11,2003-01-27
331,2543.0,10573703.0,Aracaju,Inmet,M,-37.05433,-10.95241,3.72,2003-02-11
