idGrade,x,y,t_med_medio,v_vento_medio
593,-48.5,-2.0,26.836,1.22
594,-48.0,-2.0,26.772,1.293
595,-47.5,-2.0,26.614,1.521
596,-47.0,-2.0,26.328,1.767
597,-46.5,-2.0,26.693,1.675
598,-46.0,-2.0,26.893,1.78
599,-45.5,-2.0,26.967,2.042
600,-45.0,-2.0,27.007,1.975
601,-44.5,-2.0,27.071,1.895
602,-44.0,-2.0,27.11,1.92
603,-43.5,-2.0,27.195,2.036
604,-43.0,-2.0,27.272,2.233
605,-42.5,-2.0,27.282,2.341
606,-42.0,-2.0,27.203,2.379
607,-41.5,-2.0,27.117,2.426
608,-41.0,-2.0,27.032,2.496
609,-40.5,-2.0,26.946,2.558
610,-40.0,-2.0,26.903,2.605
611,-39.5,-2.0,26.883,2.626
612,-70.5,-2.5,25.659,0.983
613,-70.0,-2.5,25.812,0.973
614,-69.5,-2.5,25.894,0.922
615,-69.0,-2.5,25.92,0.912
616,-68.5,-2.5,25.948,0.903
617,-68.0,-2.5,26.01,0.875
618,-67.5,-2.5,26.151,0.9
619,-67.0,-2.5,26.277,0.915
620,-66.5,-2.5,26.33,0.915
621,-66.0,-2.5,26.427,0.906
622,-65.5,-2.5,26.59,0.931
623,-65.0,-2.5,26.641,0.935
624,-64.5,-2.5,26.703,0.93
625,-64.0,-2.5,26.739,0.936
626,-63.5,-2.5,26.801,0.932
627,-63.0,-2.5,26.821,0.932
628,-62.5,-2.5,26.866,0.928
629,-62.0,-2.5,26.925,0.942
630,-61.5,-2.5,26.983,0.968
631,-61.0,-2.5,27.017,0.993
632,-60.5,-2.5,26.961,0.954
633,-60.0,-2.5,26.708,0.847
634,-59.5,-2.5,26.252,0.73
635,-59.0,-2.5,26.807,0.785
636,-58.5,-2.5,27.06,0.778
637,-58.0,-2.5,27.359,0.737
638,-57.5,-2.5,27.363,0.723
639,-57.0,-2.5,27.387,0.61
640,-56.5,-2.5,27.366,0.612
641,-56.0,-2.5,26.962,0.706
642,-55.5,-2.5,26.75,0.795
643,-55.0,-2.5,26.622,1.209
644,-54.5,-2.5,26.64,1.361
645,-54.0,-2.5,27.016,1.851
646,-53.5,-2.5,26.763,1.513
647,-53.0,-2.5,26.433,1.191
648,-52.5,-2.5,26.252,1.088
649,-52.0,-2.5,26.324,1.107
650,-51.5,-2.5,26.532,1.15
651,-51.0,-2.5,26.665,1.177
652,-50.5,-2.5,26.771,1.221
653,-50.0,-2.5,27.024,1.385
654,-49.5,-2.5,27.393,1.632
655,-49.0,-2.5,26.98,1.355
656,-48.5,-2.5,26.645,1.018
657,-48.0,-2.5,26.704,1.177
658,-47.5,-2.5,26.741,1.337
659,-47.0,-2.5,26.734,1.458
660,-46.5,-2.5,26.808,1.572
661,-46.0,-2.5,26.926,1.666
662,-45.5,-2.5,26.997,1.776
663,-45.0,-2.5,27.067,1.826
664,-44.5,-2.5,27.043,1.871
665,-44.0,-2.5,27.037,1.892
666,-43.5,-2.5,27.231,2.04
667,-43.0,-2.5,27.363,2.411
668,-42.5,-2.5,27.38,2.523
669,-42.0,-2.5,27.217,2.541
670,-41.5,-2.5,27.067,2.596
671,-41.0,-2.5,26.875,2.583
672,-40.5,-2.5,26.835,2.656
673,-40.0,-2.5,26.826,2.723
674,-39.5,-2.5,26.799,2.674
675,-39.0,-2.5,26.787,2.644
676,-70.5,-3.0,25.7,0.978
677,-70.0,-3.0,25.788,0.981
678,-69.5,-3.0,25.843,0.957
679,-69.0,-3.0,25.873,0.948
680,-68.5,-3.0,25.956,0.916
681,-68.0,-3.0,25.997,0.912
682,-67.5,-3.0,26.113,0.908
683,-67.0,-3.0,26.263,0.924
684,-66.5,-3.0,26.372,0.936
685,-66.0,-3.0,26.469,0.926
686,-65.5,-3.0,26.552,0.93
687,-65.0,-3.0,26.656,0.937
688,-64.5,-3.0,26.744,0.975
689,-64.0,-3.0,26.802,1.0
690,-63.5,-3.0,26.872,1.018
691,-63.0,-3.0,26.913,1.018
692,-62.5,-3.0,26.931,0.993
693,-62.0,-3.0,26.978,0.991
694,-61.5,-3.0,27.06,1.031
695,-61.0,-3.0,27.184,1.127
696,-60.5,-3.0,27.284,1.187
697,-60.0,-3.0,27.743,1.393
698,-59.5,-3.0,26.809,0.859
699,-59.0,-3.0,26.972,0.752
700,-58.5,-3.0,27.156,0.863
701,-58.0,-3.0,27.016,0.713
702,-57.5,-3.0,26.937,0.645
703,-57.0,-3.0,27.198,0.65
704,-56.5,-3.0,27.243,0.676
705,-56.0,-3.0,27.018,0.802
706,-55.5,-3.0,26.836,0.941
707,-55.0,-3.0,26.706,1.118
708,-54.5,-3.0,26.675,1.203
709,-54.0,-3.0,26.656,1.216
710,-53.5,-3.0,26.445,1.073
711,-53.0,-3.0,26.118,0.879
712,-52.5,-3.0,25.637,0.889
713,-52.0,-3.0,25.935,0.972
